,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight
46,15,150.21195427891,0.0884,-54.80470072759,0.082,5260176709504971648,0.2866,0.1033,-4.013,0.183,2.719,0.154,0,1461.2,1.5461,17.7766,0.0011,628.77,7.1578,18.3552,0.0124,1291.3,7.8911,16.9844,0.0066,1.3708,,,,,,,,IN,0
47,99,150.14727212255,0.0418,-54.80451788068,0.0406,5260177327980396544,0.5054,0.0512,-0.853,0.086,1.342,0.073,0,6265.6,3.5515,16.196,0.0006,2932.3,13.033,16.6834,0.0048,4931.0,16.962,15.5296,0.0037,1.1538,,,5073.89,0.814,0.414,1.33,1.054,IN,0
48,169,150.17460192009,0.2044,-54.80447557633,0.197,5260177499769643520,-0.178,0.2531,-3.504,0.406,4.277,0.348,0,825.42,1.6351,18.3967,0.0022,350.39,7.8177,18.99,0.0242,824.98,8.1043,17.4708,0.0107,1.5192,,,,,,,,IN,0
49,68,150.16896436343,0.1036,-54.80420835178,0.0983,5260177117499596160,0.0487,0.1237,-4.065,0.216,2.914,0.211,0,1624.3,1.7641,17.6617,0.0012,730.01,6.7513,18.1931,0.01,1423.5,9.7476,16.8785,0.0074,1.3145,,,,,,,,IN,0
50,134,150.14258454223,0.1069,-54.8038302373,0.1011,5260177323662479104,0.1609,0.1267,-4.696,0.214,3.261,0.186,0,1273.2,1.5898,17.9261,0.0014,556.81,7.1429,18.4871,0.0139,1179.1,10.191,17.083,0.0094,1.4041,,,,,,,,IN,0
51,70,150.13253687814,0.0669,-54.80351905018,0.0609,5260177293611142912,0.3242,0.0765,-7.034,0.136,5.936,0.121,0,2699.0,2.0811,17.1104,0.0008,1191.8,8.6422,17.6609,0.0079,2285.2,13.087,16.3646,0.0062,1.2963,,,,,,,,IN,0
52,108,150.1398916173,0.0456,-54.80334925151,0.0424,5260177327980240640,0.174,0.0525,-7.01,0.093,4.148,0.083,0,5672.8,4.0763,16.3039,0.0008,2416.5,41.646,16.8934,0.0187,5422.4,48.915,15.4264,0.0098,1.467,,,4467.5,,,,,IN,0
53,49,150.1576767334,0.053,-54.80292305977,0.0498,5260177121821814528,0.3226,0.0614,-3.317,0.109,2.323,0.094,0,4681.8,3.2836,16.5123,0.0008,1435.1,6.7913,17.4592,0.0051,4945.7,9.083,15.5263,0.002,1.9328,,,3883.53,,,,,IN,0
54,50,150.16449599109,0.1338,-54.80291255083,0.1256,5260177121821816448,0.2585,0.1564,-3.649,0.272,3.324,0.238,0,1589.4,1.9081,17.6853,0.0013,745.88,16.045,18.1697,0.0234,1517.0,11.024,16.8095,0.0079,1.3603,,,,,,,,IN,0
55,76,150.14056672761,0.0485,-54.80278177449,0.0472,5260177327970891648,0.4576,0.0569,-8.161,0.097,3.033,0.088,0,4925.6,3.0405,16.4572,0.0007,2230.5,20.997,16.9804,0.0102,4105.2,21.889,15.7286,0.0058,1.2518,,,4882.0,,,1.44,1.055,IN,0
56,89,150.15109205982,0.2153,-54.80245458889,0.1951,5260177323658030080,0.893,0.2468,-8.798,0.413,5.529,0.358,0,487.99,1.3223,18.9673,0.0029,145.53,7.6265,19.944,0.0569,552.48,8.1096,17.9061,0.0159,2.0379,,,,,,,,IN,0
57,206,150.19338010485,0.0989,-54.80244674851,0.0901,5260177431059470080,0.0464,0.1153,-2.705,0.197,2.997,0.169,0,1710.7,1.7007,17.6054,0.0011,346.75,10.238,19.0014,0.0321,2264.4,6.182,16.3745,0.003,2.6268,,,,,,,,IN,0
58,269,150.18413740058,0.2038,-54.80208213546,0.1757,5260177426737247488,-0.0338,0.2271,-4.745,0.403,2.572,0.357,0,593.77,1.1535,18.7543,0.0021,269.49,8.5902,19.275,0.0346,631.98,8.3883,17.7602,0.0144,1.5149,,,,,,,,IN,0
59,73,150.14439072676,0.1868,-54.80199542695,0.1771,5260177327970898048,0.1756,0.2308,-3.41,0.375,1.86,0.328,0,613.85,1.2914,18.7182,0.0023,251.32,8.399,19.3508,0.0363,706.86,10.416,17.6386,0.016,1.7122,,,,,,,,IN,0
60,40,150.16477999764,0.0924,-54.8018701002,0.0844,5260177117499689472,0.0475,0.1078,-4.018,0.183,2.829,0.159,0,1587.9,1.698,17.6863,0.0012,764.53,11.386,18.1429,0.0162,1568.6,11.672,16.7732,0.0081,1.3698,,,,,,,,IN,0
61,101,150.13750698317,0.113,-54.80176606064,0.1069,5260177323658055296,0.3917,0.1318,-4.444,0.228,2.332,0.202,0,1286.4,1.5762,17.915,0.0013,461.35,8.0682,18.6913,0.019,1315.8,9.2795,16.9639,0.0077,1.7274,,,,,,,,IN,0
62,42,150.16592214695,0.244,-54.80141201785,0.2405,5260177121821817856,0.4235,0.3128,-4.005,0.486,2.539,0.402,0,491.65,1.6086,18.9592,0.0036,,,,,,,,,,,,,,,,,IN,0
63,93,150.15358093012,0.1609,-54.80125868988,0.1516,5260177327970912128,0.2737,0.1872,-4.224,0.319,2.518,0.283,0,693.64,1.7328,18.5855,0.0027,260.1,5.8441,19.3135,0.0244,748.01,10.095,17.5772,0.0147,1.7364,,,,,,,,IN,0
64,143,150.1909308674,0.1319,-54.80116171747,0.1209,5260177426737250688,0.2166,0.1559,-2.778,0.262,1.205,0.215,0,995.43,1.3384,18.1933,0.0015,398.68,7.094,18.8498,0.0193,900.74,6.6377,17.3754,0.008,1.4744,,,,,,,,IN,0
65,180,150.17689071513,0.051,-54.80115800751,0.0474,5260177499769655040,0.5077,0.062,-5.031,0.102,7.65,0.09,0,3973.5,2.3148,16.6904,0.0006,1869.3,12.273,17.1722,0.0071,3138.7,10.43,16.0201,0.0036,1.1522,,,4993.98,0.7783,0.378,1.1,0.673,IN,0
66,123,150.14518424213,0.0438,-54.80115755653,0.0416,5260177327980242816,0.1062,0.0536,-4.146,0.09,2.772,0.076,0,6550.9,4.1514,16.1476,0.0007,2920.1,11.681,16.6879,0.0043,5479.4,11.662,15.4151,0.0023,1.2728,,,4827.14,,,,,IN,0
67,258,150.1663576108,0.18,-54.80113398179,0.1793,5260177499769638656,0.4934,0.2271,-5.222,0.362,3.898,0.329,0,596.58,1.1588,18.7492,0.0021,339.0,17.108,19.0259,0.0548,839.65,37.081,17.4517,0.0479,1.5742,,,,,,,,IN,0
68,159,150.16801514752,0.1921,-54.80104616428,0.1815,5260177499769642752,0.9412,0.2338,-3.91,0.373,-0.132,0.332,0,727.34,1.3798,18.534,0.0021,365.15,11.316,18.9452,0.0336,1102.8,21.847,17.1557,0.0215,1.7895,,,,,,,,IN,0
69,173,150.17718933407,0.0869,-54.8000139449,0.0796,5260177499769657984,0.3736,0.1037,-3.712,0.175,2.269,0.151,0,1624.0,1.7212,17.6619,0.0012,726.11,11.45,18.1989,0.0171,1498.1,12.973,16.8231,0.0094,1.3758,,,,,,,,IN,0
70,244,150.21276316437,0.0842,-54.79979859169,0.0783,5260177465419219584,0.0293,0.0952,-6.464,0.177,4.428,0.151,0,2311.6,2.0465,17.2786,0.001,528.55,7.8212,18.5437,0.0161,3005.3,9.1803,16.0672,0.0033,2.4765,,,,,,,,IN,0
71,171,150.1669427548,0.0597,-54.79961950998,0.0637,5260177499769644544,0.086,0.0743,-3.879,0.124,2.884,0.121,0,3720.4,2.6179,16.7619,0.0008,1760.7,11.485,17.2372,0.0071,3342.6,21.383,15.9517,0.0069,1.2854,,,4665.24,,,,,IN,0
72,153,150.16368435369,0.0816,-54.79940930892,0.0801,5260177499769639552,0.2548,0.0941,-4.089,0.167,2.578,0.159,0,1980.6,1.9427,17.4464,0.0011,982.79,13.025,17.8702,0.0144,1853.9,31.218,16.5917,0.0183,1.2786,,,,,,,,IN,0
73,181,150.17057823061,0.1134,-54.79929957775,0.1189,5260177499769651328,0.0014,0.1473,-4.482,0.235,2.826,0.22,0,1679.7,2.5678,17.6253,0.0017,981.25,62.4,17.8719,0.069,1608.1,44.434,16.7461,0.03,1.1258,,,,,,,,IN,0
74,142,150.20083209152,0.177,-54.79912306515,0.1707,5260177461096992896,-0.6371,0.2152,-5.076,0.349,2.938,0.297,0,617.43,1.0373,18.7119,0.0018,237.75,7.8513,19.4111,0.0359,659.88,7.3513,17.7133,0.0121,1.6978,,,,,,,,IN,0
75,41,150.16016872716,0.043,-54.79901976759,0.0399,5260177121821817216,0.0642,0.0501,-4.251,0.089,2.659,0.078,0,6088.3,3.3348,16.2271,0.0006,2835.4,15.413,16.7198,0.0059,4974.3,10.46,15.5201,0.0023,1.1997,,,4893.5,,,,,IN,0
76,218,150.17137048237,0.0631,-54.79895444228,0.0611,5260177499778942720,0.0026,0.0789,-4.479,0.132,2.57,0.108,0,3015.8,2.9841,16.9899,0.0011,2031.3,74.108,17.082,0.0396,3050.7,52.634,16.0509,0.0187,1.031,,,5143.45,,,,,IN,0
77,117,150.13688047877,0.0797,-54.79893919108,0.0788,5260177327980242048,2.3588,0.09,-49.58,0.172,21.62,0.163,0,88570.0,26.957,13.3201,0.0003,43975.0,40.153,13.7434,0.001,64843.0,55.461,12.7323,0.0009,1.0111,,,5289.46,0.253,0.124,0.97,0.659,IN,0
78,178,150.17284068016,0.0887,-54.79868414443,0.0768,5260177499769655936,0.0634,0.1005,-5.402,0.175,1.89,0.149,0,2146.2,4.2358,17.3592,0.0021,,,,,,,,,,,,,,,,,IN,0
79,154,150.21125506962,0.1029,-54.79836688059,0.0955,5260177461096997248,0.2564,0.1207,-6.342,0.215,4.535,0.181,0,1408.0,1.5789,17.8169,0.0012,391.51,7.5575,18.8695,0.021,1635.4,8.6584,16.7279,0.0057,2.1417,,,,,,,,IN,0
80,211,150.17165741714,0.0193,-54.79810901267,0.0171,5260177499778943616,0.3378,0.0219,-5.701,0.04,1.766,0.035,0,80458.0,20.623,13.4244,0.0003,53214.0,81.411,13.5363,0.0017,42808.0,31.788,13.1831,0.0008,0.3532,,,8187.0,,,,,IN,0
81,130,150.14248186019,0.2163,-54.79803259773,0.2008,5260177327980243712,0.1724,0.2601,-6.029,0.44,4.129,0.41,0,651.08,1.3598,18.6543,0.0023,282.65,6.5803,19.2233,0.0253,704.8,10.583,17.6417,0.0163,1.5815,,,,,,,,IN,0
82,145,150.1747446768,0.0925,-54.79777811836,0.0872,5260177495461259392,0.2087,0.1109,-4.203,0.188,2.723,0.169,0,1629.5,1.6873,17.6582,0.0011,780.34,10.466,18.1207,0.0146,1392.6,8.6178,16.9023,0.0067,1.2183,,,,,,,,IN,0
83,155,150.20858845646,0.2093,-54.79773659651,0.1859,5260177461096997376,0.4741,0.2427,-6.546,0.398,2.421,0.329,0,511.16,1.1214,18.917,0.0024,206.06,6.6576,19.5664,0.0351,516.7,8.0534,17.9788,0.0169,1.5876,,,,,,,,IN,0
84,152,150.18501453065,0.0557,-54.79742975401,0.0524,5260177495456740736,0.3624,0.0645,-6.7,0.114,4.401,0.1,0,3207.6,2.1364,16.9229,0.0007,1405.9,10.345,17.4815,0.008,2647.2,8.3426,16.205,0.0034,1.2765,,,4856.18,,,,,IN,0
85,230,150.194500237,0.0518,-54.79711846508,0.0491,5260177465419213952,0.5554,0.0616,-4.02,0.107,2.899,0.094,0,3661.7,2.2843,16.7791,0.0007,1694.6,8.5903,17.2788,0.0055,2888.4,9.0277,16.1103,0.0034,1.1685,,,4886.0,0.5237,0.262,1.02,0.532,IN,0
86,204,150.1791607004,0.0735,-54.79708766257,0.0688,5260177499778946048,0.2443,0.0869,-3.907,0.147,3.849,0.132,0,2186.5,1.8913,17.339,0.0009,674.8,7.9299,18.2784,0.0128,2407.7,11.737,16.3079,0.0053,1.9705,,,,,,,,IN,0
87,186,150.17738563698,0.087,-54.79698734382,0.0794,5260177499769670144,0.428,0.1001,-0.621,0.179,4.051,0.17,0,2047.4,1.9753,17.4104,0.001,932.56,7.4805,17.9272,0.0087,1809.3,13.647,16.6181,0.0082,1.3091,,,,,,,,IN,0
88,226,150.19742215707,0.0705,-54.79681739045,0.0683,5260177465419216256,0.2859,0.0847,-1.82,0.148,5.595,0.131,0,2763.2,2.369,17.0848,0.0009,744.38,6.5997,18.1719,0.0096,3138.4,9.802,16.0202,0.0034,2.1517,,,,,,,,IN,0
89,82,150.14307130759,0.1553,-54.79674729498,0.1574,5260177327970909568,0.2917,0.1896,-3.819,0.308,1.961,0.273,0,764.6,1.2975,18.4798,0.0018,326.12,6.738,19.0679,0.0224,788.04,11.22,17.5206,0.0155,1.5474,,,,,,,,IN,0
90,129,150.14088318222,0.2209,-54.79662334627,0.2318,5260177327980243968,0.4278,0.2804,-8.44,0.485,2.89,0.458,0,18128.0,52.812,15.0425,0.0032,6321.4,16.291,15.8494,0.0028,20149.0,35.181,14.0013,0.0019,1.8481,,,4062.5,,,,,IN,0
91,144,150.1746387032,0.1106,-54.79657013188,0.1054,5260177495461259264,0.1628,0.1313,-4.014,0.225,2.622,0.203,0,1496.4,1.8008,17.7507,0.0013,700.11,10.284,18.2385,0.0159,1383.7,9.2188,16.9093,0.0072,1.3291,,,,,,,,IN,0
92,193,150.18696212033,0.16,-54.79626322618,0.1518,5260177495457212288,0.1174,0.1895,-10.054,0.33,3.496,0.29,0,635.55,1.2303,18.6805,0.0021,248.53,7.6491,19.363,0.0334,657.83,6.801,17.7166,0.0112,1.6463,,,,,,,,IN,0
93,162,150.19071680226,0.1303,-54.79614725864,0.1221,5260177461097013632,-0.0464,0.1526,-4.633,0.266,2.775,0.232,0,831.33,1.1827,18.3889,0.0015,349.86,5.9251,18.9917,0.0184,800.39,7.9799,17.5037,0.0108,1.488,,,,,,,,IN,0
